名前,読み
熊五郎,くまごろう
八五郎,はちごろう
与太郎,よたろう
大家さん,おおやさん
ご隠居,ごいんきょ
金坊,きんぼう
若旦那,わかだんな
権助,権助
田中三太夫,たなかさんだゆう
赤井御門守,あかいごもんのかみ
定吉,さだきち
らくだ,らくだ
丁目の半次,ちょうのめのはんじ
久六,きゅうろく
