名前,読み
Alice,アリス
Bob,ボブ
Carol,キャロル
Charlie,チャーリー
Dave,デイブ
Ellen,エレン
Eve,イブ
Frank,フランク
Grace,グレイス
Heidi,ハイジ
Isaac,アイザック
Ivan,アイヴァン
Justin,ジャスティン
Mallet,マレット
Mallory,マロリー
Marvin,マーヴィン
Matilda,マチルダ
Oscar,オスカー
Pat,パット
Peggy,ペギー
Plod,プロッド
Steve,スティーブ
Trent,トレント
Trudy,トルーディー
Victor,ビクター
Walter,ウォルター
Zoe,ゾーイ
