名無しの権兵衛,ななしのごんべえ
John Doe,ジョン・ドゥ
Jane Doe,ジェーン・ドウ
Richard Roe,リチャード・ロウ
John Smith,ジョン・スミス
Jane Smith,ジェーン・スミス
Alan Smithee,アラン・スミシー
張三李四,ちょうさんりし
